# energy(eV) alpha
4.045700000000000074e+00 3.984744313873977095e+00
4.063100000000000378e+00 3.992210369063558417e+00
4.080499999999999794e+00 4.001385708102464633e+00
4.097800000000000331e+00 4.011500159267829879e+00
4.115199999999999747e+00 4.022191505120290778e+00
4.132600000000000051e+00 4.033973845668262115e+00
4.149899999999999700e+00 4.047856514743790157e+00
4.167300000000000004e+00 4.065357564314757255e+00
4.184599999999999653e+00 4.084202722346383929e+00
4.201999999999999957e+00 4.098460232288016591e+00
4.219400000000000261e+00 4.108790655811228376e+00
4.236699999999999910e+00 4.112319086039014415e+00
4.254100000000000215e+00 4.113713383834976867e+00
4.271499999999999631e+00 4.112283926261615541e+00
4.288800000000000168e+00 4.100506324374078027e+00
4.306199999999999584e+00 4.083961784729186917e+00
4.323599999999999888e+00 4.066651003314762924e+00
4.340900000000000425e+00 4.058203367235530656e+00
4.358299999999999841e+00 4.050154777737180467e+00
4.375600000000000378e+00 4.043621355062917644e+00
4.392999999999999794e+00 4.034183846728200962e+00
4.410400000000000098e+00 4.018641306186337303e+00
4.427699999999999747e+00 4.000119899615421915e+00
4.445100000000000051e+00 3.977876006877467674e+00
4.462500000000000355e+00 3.950494117515384040e+00
4.479800000000000004e+00 3.925393935224465114e+00
4.497200000000000308e+00 3.902285028872696238e+00
4.514599999999999724e+00 3.881437890076328223e+00
4.531900000000000261e+00 3.863248113656436278e+00
4.549299999999999677e+00 3.847415854147323788e+00
4.566600000000000215e+00 3.834428006258030486e+00
4.583999999999999631e+00 3.824665867548475706e+00
4.601399999999999935e+00 3.820421628233646061e+00
4.618699999999999584e+00 3.822500074147081595e+00
4.636099999999999888e+00 3.827306420100763162e+00
4.653500000000000192e+00 3.854609679939706268e+00
4.670799999999999841e+00 3.877752727046249959e+00
4.688200000000000145e+00 3.737050005870120373e+00
4.705599999999999561e+00 3.730649682084854035e+00
4.722900000000000098e+00 3.720338233174737219e+00
4.740300000000000402e+00 3.708255428655498065e+00
4.757600000000000051e+00 3.698636314966693206e+00
4.775000000000000355e+00 3.685385276741392602e+00
4.792399999999999771e+00 3.639282089504121132e+00
4.809700000000000308e+00 3.565809564098169737e+00
4.827099999999999724e+00 3.498541441153933285e+00
4.844500000000000028e+00 3.462194146643961634e+00
4.861799999999999677e+00 3.253336438523945606e+00
4.879199999999999982e+00 3.192552202958675700e+00
4.896600000000000286e+00 3.132580684379924207e+00
4.913899999999999935e+00 3.090621329632922798e+00
4.931300000000000239e+00 3.030269847457870647e+00
4.948599999999999888e+00 2.957373790865853280e+00
4.966000000000000192e+00 2.944134217396128239e+00
4.983399999999999608e+00 2.941002152928199997e+00
5.000700000000000145e+00 2.952623301265800748e+00
5.018099999999999561e+00 2.957736638888955216e+00
5.035499999999999865e+00 2.956012631200838570e+00
5.052800000000000402e+00 2.949140420791580119e+00
5.070199999999999818e+00 2.942061322078211916e+00
5.087600000000000122e+00 2.937400268038517837e+00
5.104899999999999771e+00 2.940510295670640151e+00
5.122300000000000075e+00 2.931076180953397170e+00
5.139599999999999724e+00 2.917643785933174527e+00
5.157000000000000028e+00 2.905191067661816007e+00
5.174400000000000333e+00 2.892988104375924685e+00
5.191699999999999982e+00 2.882136803772872291e+00
5.209100000000000286e+00 2.868495885856511496e+00
5.226499999999999702e+00 2.847951058816529102e+00
5.243800000000000239e+00 2.818845784904191021e+00
5.261199999999999655e+00 2.795279090010413192e+00
5.278599999999999959e+00 2.795981447944994258e+00
5.295899999999999608e+00 2.744682832561303520e+00
5.313299999999999912e+00 2.754777433717148227e+00
5.330599999999999561e+00 2.761846967554733467e+00
5.347999999999999865e+00 2.791986178280393194e+00
5.365400000000000169e+00 2.903043211042188876e+00
5.382699999999999818e+00 2.742576249056785986e+00
5.400100000000000122e+00 2.724524574655236897e+00
5.417500000000000426e+00 2.707610120160283351e+00
5.434800000000000075e+00 2.686246999169121796e+00
5.452200000000000379e+00 2.617395834841312663e+00
5.469599999999999795e+00 2.583765283119122902e+00
5.486900000000000333e+00 2.550171356600104744e+00
5.504299999999999748e+00 2.529169393169798497e+00
5.521600000000000286e+00 2.517918865778964399e+00
5.538999999999999702e+00 2.507521065577924979e+00
5.556400000000000006e+00 2.499165011433092332e+00
5.573699999999999655e+00 2.489110534077341619e+00
5.591099999999999959e+00 2.473262049679783026e+00
5.608500000000000263e+00 2.453101491688415070e+00
5.625799999999999912e+00 2.433746654065102710e+00
5.643200000000000216e+00 2.416255105360546551e+00
5.660599999999999632e+00 2.404644452686717671e+00
5.677900000000000169e+00 2.401006972555555841e+00
5.695299999999999585e+00 2.396670192224310547e+00
5.712600000000000122e+00 2.388589967461816066e+00
5.730000000000000426e+00 2.383811300011087653e+00
5.747399999999999842e+00 2.381267792698203767e+00
5.764700000000000379e+00 2.380835824352658836e+00
5.782099999999999795e+00 2.385308577942140129e+00
5.799500000000000099e+00 2.397933753725891126e+00
5.816799999999999748e+00 2.408304610239060395e+00
5.834200000000000053e+00 2.439164187051351185e+00
5.851600000000000357e+00 2.478117335925122511e+00
5.868900000000000006e+00 2.513029041719468282e+00
5.886300000000000310e+00 2.523870672427872552e+00
5.903599999999999959e+00 2.506368105108727207e+00
5.921000000000000263e+00 2.467596089346276944e+00
5.938399999999999679e+00 2.409745995412047037e+00
5.955700000000000216e+00 2.344491852479769101e+00
5.973099999999999632e+00 2.281483323353735937e+00
5.990499999999999936e+00 2.269157632204206632e+00
6.007799999999999585e+00 2.252508186463264117e+00
6.025199999999999889e+00 2.228080340528522107e+00
6.042600000000000193e+00 2.197903583217761359e+00
6.059899999999999842e+00 2.161960219441681819e+00
6.077300000000000146e+00 2.111033956328592254e+00
6.094599999999999795e+00 2.057118198072197757e+00
6.112000000000000099e+00 2.033486029455863431e+00
6.129400000000000404e+00 2.028674819776903782e+00
6.146700000000000053e+00 2.022537258133393578e+00
6.164100000000000357e+00 2.007575630441991166e+00
6.181499999999999773e+00 2.002319521038821826e+00
6.198800000000000310e+00 1.997939714392968691e+00
6.216199999999999726e+00 1.993173087535650367e+00
6.233600000000000030e+00 1.988589177182066070e+00
6.250899999999999679e+00 1.982812551886214081e+00
6.268299999999999983e+00 1.976119588027158258e+00
6.285599999999999632e+00 1.981603591338930492e+00
6.302999999999999936e+00 1.971571656767625136e+00
6.320400000000000240e+00 1.964042089151665227e+00
6.337699999999999889e+00 1.930945054544116690e+00
6.355100000000000193e+00 1.935926799160906597e+00
6.372499999999999609e+00 1.937102765485559930e+00
6.389800000000000146e+00 1.949295474913449455e+00
6.407199999999999562e+00 1.929290629054115414e+00
6.424599999999999866e+00 1.902999118755916541e+00
6.441900000000000404e+00 1.886300561476619730e+00
6.459299999999999820e+00 1.888958351294047322e+00
6.476600000000000357e+00 1.879324573836878898e+00
6.493999999999999773e+00 1.865323783780003630e+00
6.511400000000000077e+00 1.849197705237362044e+00
6.528699999999999726e+00 1.832855679854352715e+00
6.546100000000000030e+00 1.823031934327503212e+00
6.563500000000000334e+00 1.814425063090299162e+00
6.580799999999999983e+00 1.799848680777448084e+00
6.598200000000000287e+00 1.786280410645438410e+00
6.615599999999999703e+00 1.771897843670181105e+00
6.632900000000000240e+00 1.756056897466288902e+00
6.650299999999999656e+00 1.742140970202422423e+00
6.667600000000000193e+00 1.729868045961268530e+00
6.684999999999999609e+00 1.720330940346496362e+00
6.702399999999999913e+00 1.712169131064981586e+00
6.719699999999999562e+00 1.706293644475143312e+00
6.737099999999999866e+00 1.698961684913430803e+00
6.754500000000000171e+00 1.691531054858319116e+00
6.771799999999999820e+00 1.694949888384925885e+00
6.789200000000000124e+00 1.652511604575998216e+00
6.806600000000000428e+00 1.646750323997340004e+00
6.823900000000000077e+00 1.642934338063770205e+00
6.841300000000000381e+00 1.641449699410795660e+00
6.858600000000000030e+00 1.639442239594552486e+00
6.876000000000000334e+00 1.634198623044726739e+00
6.893399999999999750e+00 1.634005020181641399e+00
6.910700000000000287e+00 1.636043052636879658e+00
6.928099999999999703e+00 1.638472769301588139e+00
6.945500000000000007e+00 1.640665281023597988e+00
6.962799999999999656e+00 1.627256404041745208e+00
6.980199999999999960e+00 1.608619992920345965e+00
6.997600000000000264e+00 1.592201535929813172e+00
7.014899999999999913e+00 1.575479078308845482e+00
7.032300000000000217e+00 1.559212310828475445e+00
7.049599999999999866e+00 1.528073587750190976e+00
7.067000000000000171e+00 1.467446348597690298e+00
7.084399999999999586e+00 1.430625617714025299e+00
7.101700000000000124e+00 1.398366205939973739e+00
7.119100000000000428e+00 1.371223178992868608e+00
7.136499999999999844e+00 1.351596295886680732e+00
7.153800000000000381e+00 1.340721867159845981e+00
7.171199999999999797e+00 1.322043769326281648e+00
7.188600000000000101e+00 1.312509713747572526e+00
7.205899999999999750e+00 1.316976066740815243e+00
7.223300000000000054e+00 1.284809863261672902e+00
7.240599999999999703e+00 1.282266921159654238e+00
7.258000000000000007e+00 1.279393313449870728e+00
7.275400000000000311e+00 1.274799480889891923e+00
7.292699999999999960e+00 1.266998057138459366e+00
7.310100000000000264e+00 1.259672093122756076e+00
7.327499999999999680e+00 1.252158717688174772e+00
7.344800000000000217e+00 1.247396225057001207e+00
7.362199999999999633e+00 1.235412906252431720e+00
7.379599999999999937e+00 1.223625783907813291e+00
7.396899999999999586e+00 1.206715222998710813e+00
7.414299999999999891e+00 1.193558185890237100e+00
7.431600000000000428e+00 1.177433258096197921e+00
7.448999999999999844e+00 1.145814719175342944e+00
7.466400000000000148e+00 1.123615050968103990e+00
7.483699999999999797e+00 1.104538980889273603e+00
7.501100000000000101e+00 1.078699451517589836e+00
7.518500000000000405e+00 1.054063693244984501e+00
7.535800000000000054e+00 1.028871355278540900e+00
7.553200000000000358e+00 1.018424697543325763e+00
7.570599999999999774e+00 1.018865932986379619e+00
7.587900000000000311e+00 1.005078328323375958e+00
7.605299999999999727e+00 1.001061771977425519e+00
7.622600000000000264e+00 9.883806298546293778e-01
7.639999999999999680e+00 9.572789237191821066e-01
7.657399999999999984e+00 9.540436320058712782e-01
7.674699999999999633e+00 9.501754543928947472e-01
7.692099999999999937e+00 9.510171177127038078e-01
7.709500000000000242e+00 9.530604647410378938e-01
7.726799999999999891e+00 9.564736077420821214e-01
7.744200000000000195e+00 9.643312608501468652e-01
7.761599999999999611e+00 9.510481326353377174e-01
7.778900000000000148e+00 9.478582850077776900e-01
7.796299999999999564e+00 9.478456462934042870e-01
7.813600000000000101e+00 9.409477592198902673e-01
7.831000000000000405e+00 9.384833135317007802e-01
7.848399999999999821e+00 9.353984825518357749e-01
7.865700000000000358e+00 9.298620849223878659e-01
7.883099999999999774e+00 9.237375575734629862e-01
7.900500000000000078e+00 9.284469220860405159e-01
7.917799999999999727e+00 9.101048055490169597e-01
7.935200000000000031e+00 8.892054264295392585e-01
7.952600000000000335e+00 8.692969013214093543e-01
7.969899999999999984e+00 8.471469436190046665e-01
7.987300000000000288e+00 8.289315157018475322e-01
8.004599999999999937e+00 8.330442213830766551e-01
8.022000000000000242e+00 7.899151921756468742e-01
8.039400000000000546e+00 7.846681656160027218e-01
8.056699999999999307e+00 7.796966869840038505e-01
8.074099999999999611e+00 7.755806887221151635e-01
8.091499999999999915e+00 7.729555896747779542e-01
8.108800000000000452e+00 7.729197160027349023e-01
8.126200000000000756e+00 7.738623817336787170e-01
8.143599999999999284e+00 7.739476637013354976e-01
8.160899999999999821e+00 7.757678605512074999e-01
8.178300000000000125e+00 7.869183100254533159e-01
8.195600000000000662e+00 7.902648513741166170e-01
8.212999999999999190e+00 7.878368469082978054e-01
8.230399999999999494e+00 7.767240070801915142e-01
8.247700000000000031e+00 7.726139180507727300e-01
8.265100000000000335e+00 7.681024419918942581e-01
8.282500000000000639e+00 7.631117220777374754e-01
8.299799999999999400e+00 7.596911816538423068e-01
8.317199999999999704e+00 7.559771224933756750e-01
8.334600000000000009e+00 7.524300784266131359e-01
8.351900000000000546e+00 7.530216449240472176e-01
8.369300000000000850e+00 7.739676808126666474e-01
8.386599999999999611e+00 7.550195348006920604e-01
8.403999999999999915e+00 7.590281957115996292e-01
8.421400000000000219e+00 7.647757359373541508e-01
8.438700000000000756e+00 7.715740871745402352e-01
8.456099999999999284e+00 7.781493434898384409e-01
8.473499999999999588e+00 7.825436062397433945e-01
8.490800000000000125e+00 7.841590347726637988e-01
8.508200000000000429e+00 7.934421076825868280e-01
8.525600000000000733e+00 7.772512045204307274e-01
8.542899999999999494e+00 7.809542374141563714e-01
8.560299999999999798e+00 7.757179556924196362e-01
8.577600000000000335e+00 7.595435890081777552e-01
8.595000000000000639e+00 7.634916214341935792e-01
8.612399999999999167e+00 7.560032865035291039e-01
8.629699999999999704e+00 7.555116591068063991e-01
8.647100000000000009e+00 7.566271602573154675e-01
8.664500000000000313e+00 7.530437026982262916e-01
8.681800000000000850e+00 7.475377543672282465e-01
8.699199999999999378e+00 7.366119654621750001e-01
8.716599999999999682e+00 7.346737325269734331e-01
8.733900000000000219e+00 7.247275682132642283e-01
8.751300000000000523e+00 7.318346887641278276e-01
8.768700000000000827e+00 7.380749602827023637e-01
8.785999999999999588e+00 7.573017075405222842e-01
8.803399999999999892e+00 7.632810152955480376e-01
8.820700000000000429e+00 7.580936431321602109e-01
8.838100000000000733e+00 7.494824042542154174e-01
8.855499999999999261e+00 7.537304346151147971e-01
8.872799999999999798e+00 7.592112012660018339e-01
8.890200000000000102e+00 7.650459852644148073e-01
8.907600000000000406e+00 7.783892549315885034e-01
8.924899999999999167e+00 7.882753090460813405e-01
8.942299999999999471e+00 7.916578321568368271e-01
8.959699999999999775e+00 7.704010154745263295e-01
8.977000000000000313e+00 7.492281097928124023e-01
8.994400000000000617e+00 7.124249204452770545e-01
9.011699999999999378e+00 7.055906521390410413e-01
9.029099999999999682e+00 6.990807530226086364e-01
9.046499999999999986e+00 6.977349896618207925e-01
9.063800000000000523e+00 6.992185302456875862e-01
9.081200000000000827e+00 7.024441934390324160e-01
9.098599999999999355e+00 7.007802963497014037e-01
9.115899999999999892e+00 7.002118635039218386e-01
9.133300000000000196e+00 6.992896225759797080e-01
9.150700000000000500e+00 6.976111918172460680e-01
9.167999999999999261e+00 6.966793253596377244e-01
9.185399999999999565e+00 6.995981275969850310e-01
9.202700000000000102e+00 7.021969394215421545e-01
9.220100000000000406e+00 7.058218225196163376e-01
9.237500000000000711e+00 6.915363103301410685e-01
9.254799999999999471e+00 6.937362764424179762e-01
9.272199999999999775e+00 6.951096452717324681e-01
9.289600000000000080e+00 7.033067365760797829e-01
9.306900000000000617e+00 7.004451888920578684e-01
9.324299999999999145e+00 7.041101763461991014e-01
9.341699999999999449e+00 7.079334244062549519e-01
9.358999999999999986e+00 7.125489213589519810e-01
9.376400000000000290e+00 7.241982493909031593e-01
9.393700000000000827e+00 7.362227685780511344e-01
9.411099999999999355e+00 7.442260515136454035e-01
9.428499999999999659e+00 7.387884427608494287e-01
9.445800000000000196e+00 7.277415793621788698e-01
9.463200000000000500e+00 7.301222784664240795e-01
9.480600000000000804e+00 7.297576248768040674e-01
9.497899999999999565e+00 7.259642106037623721e-01
9.515299999999999869e+00 7.249413679059040216e-01
9.532700000000000173e+00 7.257617233226498765e-01
9.550000000000000711e+00 7.291485824279162475e-01
9.567399999999999238e+00 7.395205028098407185e-01
9.584699999999999775e+00 7.244416660945545150e-01
9.602100000000000080e+00 7.186108194031868290e-01
9.619500000000000384e+00 7.219127259375748284e-01
9.636799999999999145e+00 7.184344670698021851e-01
9.654199999999999449e+00 7.153584195840536619e-01
9.671599999999999753e+00 7.141729396198522872e-01
9.688900000000000290e+00 7.142060890419290597e-01
9.706300000000000594e+00 7.149262693124742718e-01
9.723699999999999122e+00 7.111431835007874236e-01
9.740999999999999659e+00 7.110037556942474524e-01
9.758399999999999963e+00 6.830047139018387004e-01
9.775700000000000500e+00 6.790327156287970789e-01
9.793100000000000804e+00 6.731395604722935078e-01
9.810499999999999332e+00 6.627883648126511318e-01
9.827799999999999869e+00 6.512024367817638160e-01
9.845200000000000173e+00 6.450446233623586823e-01
9.862600000000000477e+00 6.367950902205509189e-01
9.879899999999999238e+00 6.329614292548236820e-01
9.897299999999999542e+00 6.305763186786461638e-01
9.914699999999999847e+00 6.295660702886136662e-01
9.932000000000000384e+00 6.366421459250413140e-01
9.949400000000000688e+00 6.240494660626136891e-01
9.966699999999999449e+00 6.245987696461809957e-01
9.984099999999999753e+00 6.217291903557906618e-01
1.000150000000000006e+01 6.190805455501773302e-01
1.001880000000000059e+01 6.120829798364659791e-01
1.003619999999999912e+01 6.059019883680714091e-01
1.005359999999999943e+01 5.968409026701487763e-01
1.007089999999999996e+01 5.894589581542992729e-01
1.008830000000000027e+01 5.870478482951333454e-01
